ogrn,shortName,website,vk
1159102015016,ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ВЕТЕРАНОВ ГОРОДА-ГЕРОЯ КЕРЧИ,veteranykerch.ru,https://vk.com//public203415983
1021100002923,ФПРК,фпрк11.рф,https://vk.com//public203659500
1116300004347,"РМОО ""СТУДЕНЧЕСКИЙ СОВЕТ САМАРСКОЙ ОБЛАСТИ""",15dayvic.ru,https://vk.com/15days_victory
1081800000710,"БФ ""БЛАГОДАР""",http://благодар18.рф,https://vk.com/18blagodar
1157700001953,"ФОНД ""НФР""",фонднфр.рф,https://vk.com/1fondnfr
1137800002152,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МЕСТО ПОД СОЛНЦЕМ""",deti-sun.ru,https://vk.com/1mestopodsolncem
1149102032507,"АНО ""ТРК ""КРЫМ""",1tvcrimea.ru,https://vk.com/1tvcrimea
1023500002162,,vosgmpr.ru,https://vk.com/1vosgmpr
1132900000749,"РОБФ ""ПОМОРЬЕ БЕЗ НАРКОТИКОВ""",lime29.ru,https://vk.com/29lime
1157800000478,"БФ ""ПОЛЬЗА""",http://ipolza.com,https://vk.com/2polza
1105000003646,"КТС ""ОКА-ДАНС""",2sigma.ru,https://vk.com/2sigma
1023500000050,,35voi.ru,https://vk.com/35voi
1203600028752,"АНО ""РЦК""",rck36.ru,https://vk.com/36rck
1123900001048,"КРОО ИНВАЛИДОВ ""КОВЧЕГ""",39kovcheg.ru,https://vk.com/39kovcheg
1121100000262,"КРРО ООО ""ДЕЛОВАЯ РОССИЯ""",3v-sykt.ru,https://vk.com/3v_sykt
1157800002557,"ФОНД ""ЧИСТАЯ ВУОКСА""",cleanvuoksa.ru,https://vk.com/4istaya_vuoksa
1093600000053,"ВРОО ""СОДРУЖЕСТВО ЖУРФАКА ВГУ""",5-sov.ru,https://vk.com/5sov_ru
1026600001977,"РОО ""СВЕРДЛОВСКАЯ ОБЛАСТНАЯ ФЕДЕРАЦИЯ ДЗЮДО""",judo66.ru,https://vk.com/66judo
1037402324277,"ПОУ ""ЧЕЛЯБИНСКАЯ ОТШ ДОСААФ РОССИИ""",dosaaf8marta.ru,https://vk.com/74dosaaf
1107500000772,"ЗРОО ""ОПОРА РОССИИ""",75opora.ru,https://vk.com/75opora
1115900001491,"СРО А КИ ""СОДРУЖЕСТВО""",ski-pk.ru,https://vk.com/a_sro_kiruip
1197700012531,"ФОНД ""ПОСЛАНИЕ""",aamos.ru,https://vk.com/aamosru
1136900001193,"АБ ""АДВАНТАЖ""",ab-advantage.ru,https://vk.com/abadvantage
1033302201668,"СЛПУ ""САНАТОРИЙ ИМ.АБЕЛЬМАНА""",abelman.ru,https://vk.com/abelman2016
1160280075890,"АНО ДО ""АМЕРИКАНО-БАШКИРСКИЙ ИНТЕРКОЛЛЕДЖ""",abic.ru,https://vk.com/abicufa
1196313026403,"АНОО ""КОМПЛЕКСНЫЙ ОБЩЕОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР ДЛЯ ДЕТЕЙ С ДЦП ""ВЫШЕ РАДУГИ""",выше-радуги.рф,https://vk.com/above_rainbow_samara
1155200001483,"АНО УКЦ ""АБСОЛЮТ-НН""",52abs.ru,https://vk.com/absolutnn
1159102073107,ППОО КФУ ИМЕНИ В.И. ВЕРНАДСКОГО,асиатут.рф,https://vk.com/aca_profkom
1065400042718,"ФОНД ""ТЕХНОПАРК АКАДЕМГОРОДКА""",academpark.com,https://vk.com/academpark_nsk
1154000000142,"АНО ДПО ""АКАДЕМИЯ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ И РАЗВИТИЯ""",academy-balabanovo.ru,https://vk.com/academy_balabanovo
1027600680469,АКАДЕМИЯ МУБИНТ,mubint.ru,https://vk.com/academy_mubint
1037739576841,"ОВО ""РААН""",raa.ru,https://vk.com/academy_raan
1046900097067,"АНО ""АКАДЕМИЯ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",teamline.ru,https://vk.com/academy.teamline
1117799009569,"АНО ""ФУТБОЛЬНАЯ АКАДЕМИЯ ""ДИНАМО"" ИМЕНИ Л.И. ЯШИНА""",academydinamo.ru,https://vk.com/academydynamo
