Регистрационный номер;Краткое наименование;Дата регистрации;Возраст компании, лет;Статус;Регион регистрации;Наименование ОКАТО;Вид деятельности/отрасль;Организационно-правовая форма;2019, Доходы, RUB;2020, Доходы, RUB;2021, Доходы, RUB;2019, Расходы, RUB;2020, Расходы, RUB;2021, Расходы, RUB;2019, Налоги, RUB;2020, Налоги, RUB;2021, Налоги, RUB;2019, Активы  всего, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2019, Капитал и резервы, RUB;2020, Капитал и резервы, RUB;2021, Капитал и резервы, RUB;2019, Пассивы всего, RUB;2020, Пассивы всего, RUB;2021, Пассивы всего, RUB;2019, Чистая прибыль (убыток), RUB;2020, Чистая прибыль (убыток), RUB;2021, Чистая прибыль (убыток), RUB;2019, Оплата труда, RUB;2020, Оплата труда, RUB;2021, Оплата труда, RUB;2019, Прибыль от приносящей доход деятельности, RUB;2020, Прибыль от приносящей доход деятельности, RUB;2021, Прибыль от приносящей доход деятельности, RUB;2019, Всего поступило средств, RUB;2020, Всего поступило средств, RUB;2021, Всего поступило средств, RUB;2019, Расходы на целевые мероприятия, RUB;2020, Расходы на целевые мероприятия, RUB;2021, Расходы на целевые мероприятия, RUB;2019, Расходы на содержание аппарата управления, RUB;2020, Расходы на содержание аппарата управления, RUB;2021, Расходы на содержание аппарата управления, RUB;2019, Приобретение основных средств, инвентаря и иного имущества, RUB;2020, Приобретение основных средств, инвентаря и иного имущества, RUB;2021, Приобретение основных средств, инвентаря и иного имущества, RUB;2019, Всего использовано средств, RUB;2020, Всего использовано средств, RUB;2021, Всего использовано средств, RUB;2019, Остаток средств на конец отчетного года, RUB;2020, Остаток средств на конец отчетного года, RUB;2021, Остаток средств на конец отчетного года, RUB
1207400044004;ФОНД 2020;03.12.2020;1,5;Действующая;Челябинская область;Челябинская область, Челябинск, Центральный;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Фонды;;;;;;;;;;;;12 726 000;;;12 430 000;;;12 726 000;;;199 000;;;2 223 000;;;199 000;;;65 919 000;;;49 527 000;;;3 948 000;;;98 000;;;53 587 000;;;12 332 000
1205000028298;"МРОО ""22/17""";20.03.2020;2,0;Действующая;Московская область;Московская область, Мытищи;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;;3 689 000;1 424 000;;;;;3 689 000;1 424 000;;;;;;;;;;;3 717 000;1 170 000;;;;;;;;;;;28 000;3 694 000;;3 689 000;1 165 000
1113900001137;"НП ""5 ИЮНЯ""";20.07.2011;11,0;Действующая;Калининградская область;Калининградская область, Калининград, Ленинградский;Разработка проектов по кондиционированию воздуха, холодильной технике, санитарной технике и мониторингу загрязнения окружающей среды, строительной акустике;Некоммерческие партнерства;;;;;;;;;;207 000;241 000;281 000;207 000;;;207 000;241 000;281 000;78 000;34 000;40 000;;;;;;;;;;;;;;;;;;;;;;;;
1126700000789;"""ААИИ""";09.11.2012;9,5;Действующая;Смоленская область;Смоленская область, Смоленск;Исследование конъюнктуры рынка и изучение общественного мнения;Объединения юридических лиц;;;;;;;;;;118 000;708 000;77 000;118 000;629 000;73 000;118 000;708 000;77 000;;111 000;;;;;;117 000;43 000;845 000;2 876 000;1 880 000;265 000;1 209 000;1 513 000;446 000;1 156 000;927 000;18 000;;;729 000;2 365 000;2 440 000;118 000;629 000;69 000
1097400002193;АБ КРП;01.10.2009;12,5;Действующая;Челябинская область;Челябинская область, Челябинск, Советский;Деятельность в области права;Адвокатские бюро;;;;;;;;;;4 532 000;3 719 000;4 261 000;;;;4 532 000;3 719 000;4 261 000;;;;;;;;;;35 647 000;30 164 000;38 392 000;28 790 000;26 437 000;33 067 000;4 983 000;4 917 000;5 228 000;;;;33 773 000;31 354 000;38 295 000;2 952 000;1 762 000;1 859 000
1122600001622;"РОО НКА АБАЗИН СТАВРОПОЛЬСКОГО КРАЯ ""АБАЗА""";13.08.2012;9,5;Действующая;Ставропольский край;Ставропольский край, Ставрополь, Ленинский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;;1 000;;;;;;1 000;;;;;;;;;;;204 000;471 000;400 000;199 000;465 000;400 000;;;;;;;204 000;470 000;401 000;-25 000;-24 000;-25 000
1051900006498;"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""АБАКАНСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""";18.09.1995;26,5;Действующая;Хакасия (Республика);Республика Хакасия, Абакан;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1212300022263;"БФ ""АБО""";22.01.2018;4,5;Действующая;Краснодарский край;Краснодарский край, Краснодар, Карасунский;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Благотворительные фонды;;;;;;;;;;1 316 000;1 636 000;2 529 000;;;;1 316 000;1 636 000;2 529 000;;;;;;;;;;1 513 000;6 954 000;2 923 000;;6 355 000;1 131 000;;;;;;;372 000;7 632 000;1 610 000;1 210 000;532 000;1 427 000
1155200001483;"АНО УКЦ ""АБСОЛЮТ-НН""";15.03.2010;12,0;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Нижегородский;Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки;Автономные некоммерческие организации;;;;;;;;;;1 852 000;2 317 000;3 825 000;;;;1 852 000;2 317 000;3 825 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035000907204;"БФ ""АБСОЛЮТ-ПОМОЩЬ""";13.05.2002;20,0;Действующая;Московская область;Московская область, Одинцово, Заречье;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Благотворительные фонды;;;;;;;;;;1 000 986 000;1 166 552 000;1 438 210 000;987 173 000;1 150 383 000;1 422 657 000;1 000 986 000;1 166 552 000;1 438 210 000;45 000;113 000;305 000;19 864 000;15 479 000;20 878 000;;;;338 511 000;565 558 000;940 974 000;285 983 000;410 398 000;618 117 000;27 455 000;30 145 000;50 394 000;24 726 000;;1 222 000;338 163 000;440 544 000;669 733 000;167 875 000;292 889 000;564 130 000
1147800005946;АВ СПБГУ;08.10.2014;7,5;Действующая;Санкт-Петербург;Санкт-Петербург, Василеостровский;Консультирование по вопросам коммерческой деятельности и управления;Объединения юридических лиц;;;;;;;;;;9 153 000;6 924 000;5 851 000;;;;9 153 000;6 924 000;5 851 000;-1 919 000;1 982 000;863 000;;;;;1 982 000;863 000;40 336 000;21 315 000;22 595 000;17 088 000;7 126 000;8 736 000;17 955 000;14 585 000;15 013 000;;;;35 043 000;21 711 000;23 749 000;8 520 000;6 251 000;5 097 000
1204200012939;"АНО ПОДДЕРЖКИ И РАЗВИТИЯ ПЕДАГОГИЧЕСКИХ ИНИЦИАТИВ ""АВАНГАРД""";03.09.2020;1,5;Действующая;Кемеровская область;Кемеровская область, Кемерово, Рудничный;Образование дополнительное детей и взрослых прочее, не включенное в другие группировки;Автономные некоммерческие организации;;;;;;;;;;;32 000;114 000;;3 000;111 000;;32 000;114 000;;;;;;98 000;;;;;82 000;527 000;;79 000;129 000;;;157 000;;;88 000;;79 000;417 000;;3 000;111 000
1034637002487;АФК «АВАНГАРД»;13.01.2003;19,5;Действующая;Курская область;Курская область, Курск, Центральный;Деятельность спортивных клубов;Объединения юридических лиц;;;;;;;;;;32 257 000;24 984 000;24 283 000;-107 214 000;-76 461 000;22 945 000;32 257 000;24 984 000;24 283 000;-3 855 000;-3 189 000;-4 302 000;;;;;;;;;;;;;;;;;;;;;;;;
1026700008411;"ОО СГКС ""АВАНГАРД""";10.11.1998;23,5;Действующая;Смоленская область;Смоленская область, Смоленск;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;97 000;286 000;427 000;71 000;;;97 000;286 000;427 000;;;;;;;180 000;75 000;;3 126 000;2 737 000;3 454 000;1 475 000;2 233 000;2 953 000;1 018 000;249 000;423 000;17 000;;;2 680 000;2 497 000;3 455 000;410 000;240 000;239 000
