name,ogrn,status,region,okopf,okopf_id
"ФОНД ""+7""",1157700012887,Действующая,Москва,Фонды,70400
"100 ЛЕТ ПРОФДВИЖЕНИЯ РОССИИ, ФОНД",1047797031974,Действующая,Москва,Фонды,70400
"100+1, ФОНД",1167700056809,Действующая,Москва,Фонды,70400
"100-ЛЕТИЕ СССР, ФОНД",1187700019869,Действующая,Москва,Фонды,70400
"101 КИЛОМЕТР. ПОДВИЖНИКИ МАЛОЯРОСЛАВЦА, БФ",1167700057568,Действующая,Москва,Благотворительные фонды,70401
"11 ЧАСОВЫХ ПОЯСОВ, БФ",1217700495891,Действующая,Москва,Благотворительные фонды,70401
"12, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001140,Действующая,Москва,Благотворительные фонды,70401
"179, ФСОП",1207700007151,Действующая,Москва,Фонды,70400
"1ПОМОГАЕТ, БФ",1167700056347,Действующая,Москва,Благотворительные фонды,70401
"2035, ФОНД",1217700615010,Действующая,Москва,Фонды,70400
"3Д, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700012080,Действующая,Москва,Благотворительные фонды,70401
"42, ФОНД",1197700006063,Ликвидируется,Москва,Фонды,70400
"459 ОРСПН, ФОНД",1217700471890,Действующая,Москва,Благотворительные фонды,70401
"5 СВОБОД, БФЗЖ",1167700051826,Действующая,Москва,Благотворительные фонды,70401
"52, ФОНД",1177700003040,Действующая,Москва,Фонды,70400
"5541 ДОБРО, БФ",1147799011612,Действующая,Москва,Благотворительные фонды,70401
"60 ЛЕТ ПОБЕДЫ, НО ФОНД",1057748253860,Действующая,Москва,Фонды,70400
"7 ЖИЗНЕЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001689,Действующая,Москва,Благотворительные фонды,70401
"770, БФ",1197700007042,Действующая,Москва,Благотворительные фонды,70401
"XL, ФОНД",1027739270350,Действующая,Москва,Фонды,70400
"XXI ВЕК БЕЗ НАСИЛИЯ, МЕЖДУНАРОДНЫЙ ФОНД",1037700226981,Действующая,Москва,Фонды,70400
"XXI ВЕК БЕЗ РАКА, БФ",1097799042857,Действующая,Москва,Благотворительные фонды,70401
"XXI ВЕК, РОФ",1027700370114,Действующая,Москва,Общественные фонды,70403
"XXI ВЕК, ФРСП",1077799006350,Действующая,Москва,Фонды,70400
"XXI ВЕК-ДЕТЯМ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027739474234,Действующая,Москва,Благотворительные фонды,70401
"ЁЛКИ ДРУЖБЫ, ФОНД",1147799018608,Действующая,Москва,Фонды,70400
А ФОНД,1027700008093,Действующая,Москва,Общественные фонды,70403
"А-СЕРВИС 1, ФОНД",1187700016492,Действующая,Москва,Фонды,70400
"А-СЕРВИС 2, ФОНД",1187700016569,Действующая,Москва,Фонды,70400
"А.В. ГОРСКОГО, ФОНД",1147799012415,Действующая,Москва,Фонды,70400
"А.В., ФОНД КУЛЬТУРЫ",1027801528193,Действующая,Москва,Фонды,70400
"А.Н. СИДЕЛЬНИКОВА, ФОНД ИМ.",1027731000956,Действующая,Москва,Фонды,70400
"А.П. МАРЕСЬЕВА, ФОНД",1027739200851,Действующая,Москва,Общественные фонды,70403
