url,fb,vk,ig,ok,youtube,tiktok
http://burningheart-charity.ru,,,,,,
http://nkosocium.ru,,,,,,
http://rck-vlg.ru,,,,,,
http://rtsk-vlg.ru,,,,,,
http://intellect-foundation.ru,,https://vk.com/intellect.foundation,https://instagram.com/intellect.foundation,,,
http://sabf.ru,https://www.facebook.com/CharitableFoundationAngelmanSyndrome/?modal=admin_todo_tour,,https://instagram.com/rusangelman?igshid=vworrc6kjh7z,,,
http://asp-rpo.ru,,,,,,
http://sro-rpo.ru,,,,,,
http://msprnd.ru,,,,,,
http://ano-consensus.ru,https://www.facebook.com/anoconsensus,,https://www.instagram.com/anoconsensus/,,,
http://dorogisochi.ru,,,https://www.instagram.com/dorogisochi.ru,,,
http://fondserdcarodiny.com,https://www.facebook.com/fondserdcarodiny,,https://instagram.com/fondserdcarodiny?igshid=13ptk58487h28b,https://ok.ru/profile/597378530837,https://www.youtube.com/channel/UCXNUZ3b-ymCAizkeO4lybPw,https://vm.tiktok.com/ZSgnktn2/
http://рбоонадежда47регион.рф,,https://vk.com/pomoschsemie.luga?w=app5619682_-82286389%2523508823,,,,
http://fpscho.ru,,,,,,
http://securitymedia.ru,https://www.facebook.com/industriabezopasnosti,https://vk.com/securitymedia,,,,
http://rnim.ru,,,,,,
http://0312gov.ru,,,,,,
http://atpprf.ru,,,,,,
http://ecology-tatarstan.ru,,https://vk.com/public173749519,,,,
http://sistema-university.ru,,,,,,
http://rosekzamen.ru,,,,,,
http://rak-pobedim.com,,,,,,
http://dvbfond.ru,,https://vk.com/fonddobrovoblago,https://www.instagram.com/kirillpetrovhelp_sma/,,https://www.youtube.com/channel/UCiwOoMTRTDMa2zAf5f8uMPQ,
http://mouc.ru,,,,,,
http://адвокат-юрист-красногорск.рф,,https://vk.com/mouc_krasnogorsk,,,,
http://гордость-урала.рф,,,,,,
http://mfc-gosuslugi.ru,,,,,,
http://союз-тамбов.рф,,,,,,
http://vbdavangard.ru,,,,,,
http://nf2217.ru,https://www.facebook.com/МРОО-помощи-пациентам-с-нейрофиброматозом-2217-100156098377993,https://vk.com/public194953135,https://www.instagram.com/nf_2217/,,https://www.youtube.com/channel/UCp693gH6frXdBhXZ-Z0yZRg?view_as=subscriber,
http://svobodanko.ru,,,,,,
http://animalsupport.ru,,,,,,
http://nko-pazvitiye.ru,,https://vk.com/nkorazvitie64,https://www.instagram.com/nko_razvitie64/,,,
http://polzamarket.ru,https://www.facebook.com/u.bioproduct/,https://vk.com/polzamarket_tmn,https://www.instagram.com/polzamarket.rf/,,https://www.youtube.com/channel/UChUFd04mbv3EA6mqJZoCOtg/,
http://romanvollert.ru,,,,,,
http://добрубыть.рф,,https://vk.com/dobrubit72,https://www.instagram.com/dobrubit/,https://ok.ru/group/57613371506704,,
http://романволлерт.рф,,,,,,
https://nko-new.ru,https://www.facebook.com/groups/nkonew/,https://vk.com/nkonew,https://www.instagram.com/nko_new/,https://ok.ru/group/57814542844066,https://www.youtube.com/channel/UCFT9z1cOqJgj8JCmoKKVWeg,
http://fond-doverie.ru,,,,,,
http://bf-ansar.ru,,https://vk.com/bf_ansar,https://www.instagram.com/bf_ansar/,,https://www.youtube.com/channel/UCcQGnryyEgXlSjoUAlSZMOw,
http://lendir.ru,https://www.facebook.com/groups/3207237442717865,https://vk.com/sovetdirectorovlenr,https://www.instagram.com/lendir161/,,,
http://dorozhe-zolota.ru,,,,,,
http://дороже-золота42.рф,,,,,,
http://anokvt.ru,,,,,,
http://ivgorsreda.ru,,,https://www.instagram.com/ctr_ivobl,,,
http://in-ural.ru,,https://vk.com/in.ural,,,,
http://www.nabokovmuseum.org,,,,,,
http://college-miass.ru,,,,,,
http://rukapomoshi03.ru,,https://vk.com/club194279021,https://instagram.com/rukapomoschi_ulan_ude?igshid=1iisrb61eju33,,,
