id,title,score,numericValue,numericUnit,website
interactive,Time to Interactive,0.86,2740.0,millisecond,http://ul-lyceum.ru
largest-contentful-paint,Largest Contentful Paint,0.21,3708.5,millisecond,http://ul-lyceum.ru
first-contentful-paint,First Contentful Paint,0.67,1333.3372421264648,millisecond,http://ul-lyceum.ru
interactive,Time to Interactive,0.96,1926.0,millisecond,http://startum-dpo.ru
largest-contentful-paint,Largest Contentful Paint,0.46,2540.0,millisecond,http://startum-dpo.ru
first-contentful-paint,First Contentful Paint,0.8,1119.0,millisecond,http://startum-dpo.ru
interactive,Time to Interactive,1.0,1058.0,millisecond,http://jivi-zavtra.ru
largest-contentful-paint,Largest Contentful Paint,0.97,889.0,millisecond,http://jivi-zavtra.ru
first-contentful-paint,First Contentful Paint,0.92,880.0,millisecond,http://jivi-zavtra.ru
interactive,Time to Interactive,0.92,2321.0,millisecond,http://br33.ru
largest-contentful-paint,Largest Contentful Paint,0.54,2263.0,millisecond,http://br33.ru
first-contentful-paint,First Contentful Paint,0.89,960.0,millisecond,http://br33.ru
interactive,Time to Interactive,1.0,960.0,millisecond,http://seadobra.ru
largest-contentful-paint,Largest Contentful Paint,0.94,1020.0,millisecond,http://seadobra.ru
first-contentful-paint,First Contentful Paint,0.89,960.0,millisecond,http://seadobra.ru
interactive,Time to Interactive,1.0,1040.0,millisecond,http://моредобра.рф
largest-contentful-paint,Largest Contentful Paint,0.93,1100.0,millisecond,http://моредобра.рф
first-contentful-paint,First Contentful Paint,0.85,1040.0,millisecond,http://моредобра.рф
interactive,Time to Interactive,1.0,1050.0,millisecond,http://nmzo.ru
largest-contentful-paint,Largest Contentful Paint,0.88,1260.0,millisecond,http://nmzo.ru
first-contentful-paint,First Contentful Paint,0.84,1050.0,millisecond,http://nmzo.ru
lighthouseError,lighthouseError,lighthouseError,lighthouseError,lighthouseError,http://chapuus.ru
interactive,Time to Interactive,0.95,2072.0,millisecond,http://dnkdv.ru
largest-contentful-paint,Largest Contentful Paint,0.71,1784.8041076660156,millisecond,http://dnkdv.ru
first-contentful-paint,First Contentful Paint,0.79,1142.0,millisecond,http://dnkdv.ru
interactive,Time to Interactive,1.0,949.5,millisecond,http://hope48.ru
largest-contentful-paint,Largest Contentful Paint,0.83,1421.5,millisecond,http://hope48.ru
first-contentful-paint,First Contentful Paint,0.92,880.0,millisecond,http://hope48.ru
interactive,Time to Interactive,1.0,743.5,millisecond,http://teatr13tram.ru
largest-contentful-paint,Largest Contentful Paint,0.85,1382.0,millisecond,http://teatr13tram.ru
first-contentful-paint,First Contentful Paint,0.97,730.0,millisecond,http://teatr13tram.ru
interactive,Time to Interactive,1.0,1311.0,millisecond,http://gorodarb.ru
largest-contentful-paint,Largest Contentful Paint,0.12,4507.402053833008,millisecond,http://gorodarb.ru
first-contentful-paint,First Contentful Paint,0.77,1177.5,millisecond,http://gorodarb.ru
interactive,Time to Interactive,0.79,3107.5,millisecond,http://irgrb.ru
largest-contentful-paint,Largest Contentful Paint,0.32,3078.5,millisecond,http://irgrb.ru
first-contentful-paint,First Contentful Paint,0.28,2051.0,millisecond,http://irgrb.ru
interactive,Time to Interactive,0.83,2865.0,millisecond,http://avtoshkolakam.ru
largest-contentful-paint,Largest Contentful Paint,0.83,1440.0,millisecond,http://avtoshkolakam.ru
first-contentful-paint,First Contentful Paint,1.0,491.0,millisecond,http://avtoshkolakam.ru
