,ogrn,website,CMS
0,1215900004154,http://findsalvation.ru,Unknown
1,1216800002792,http://univermol68.ru,Tilda
2,1212700011127,http://fks27.ru,Wordpress
3,1212100005930,http://itacademy21.ru,Unknown
4,1217700267718,http://frontstory.ru,Bitrix
5,1216300037700,http://absf.ru,Bitrix
6,1217700373296,http://interced.ru,Wordpress
7,1217700135564,http://vshgo.ru,Wordpress
8,1214700012845,http://anoecograd.ru,Tilda
9,1217700141999,http://profmasterstvo.ru,Tilda
10,1215300003599,http://novtechschool.ru,Tilda
11,1211900002621,http://frprh.ru,Wordpress
12,1211700001358,http://ангыр.рф,Wordpress
13,1215000078611,http://antedu.ru,Unknown
14,1216600028897,http://прознания.рф,S3
15,1216300035764,http://alternativaschool.ru,Wordpress
16,1217700149985,http://цпв-гвардия.рф,Unknown
17,1217700145332,http://schoolimtp.ru,Bitrix
18,1213900002865,http://stepfond.ru,Tilda
19,1217700356356,http://moosp.ru,Wordpress
20,1215000025460,http://bfrubystar.ru,Wix
21,1215000025460,http://рубиноваязвезда.рф,Wix
22,1216700003354,http://gimnazia-roslavl.ru,Unknown
23,1212100005600,http://abatcluster.ru,Wordpress
24,1217700102520,http://kkfound.ru,Unknown
25,1218600002840,http://gran-i.ru,Unknown
26,1218600002862,http://anokns.ru,Unknown
27,1217700102510,http://проектбудущее.рф,Wordpress
28,1217700119933,http://www.biscol.ru,Bitrix
29,1215100002545,http://rck51.ru,Wordpress
30,1215600007622,http://1-advokatskoe-byuro.ru,Drupal
31,1210200014430,http://azrb.ru,Bitrix
32,1214600002572,http://суджнародтрадит.рф,Joomla
33,1210200017378,http://spartak-tz.ru,Wordpress
34,1215900014780,http://dobro-perm.ru,Unknown
35,1210200018819,http://уфа-альянс.рф,Joomla
36,1210200018907,http://anorsi.ru,Unknown
37,1210200017411,http://vorotavsport.ru,Wordpress
38,1215400015808,http://agroturizm54.ru,Wordpress
39,1213900010026,http://bfaom.ru,Unknown
40,1217700121100,http://specopbabushka.ru,Wordpress
41,1217700385539,https://ngolikeyou.ru,Tilda
42,1217700380314,http://belosnezhka-pg.mskobr.ru,Unknown
43,1217600004588,http://yfnd.ru,Wordpress
44,1217700173096,http://ipipm.ru,Tilda
45,1217700173129,http://naogs.ru,Unknown
46,1213500013407,http://мызавас.рф,Wordpress
47,1210200041424,http://ukkursor.ru,Bitrix
48,1215000039055,http://createdu.ru,Tilda
49,1215500008020,http://мывместефонд.рф,Wordpress
50,1215000013513,http://rostok-dobra-kz.ru,Wordpress
51,1217800016081,https://porapomogat.ru,Modx revolution
52,1217700046035,http://tracee.ru,Wordpress
53,1216100001237,http://kasharynews.ru,Wordpress
54,1217700029612,http://nido-russia.ru,Joomla
55,1215000005021,http://www.moboo.ru,Tilda
56,1215000000995,http://sport-atworld.ru,Wordpress
57,1213800003284,http://orient-journal.ru,Unknown
58,1217700054868,http://portal-kultura.ru,Bitrix
59,1217200005230,http://dsmcf.ru,Unknown
60,1217200005230,http://бфисс.рф,Unknown
61,1217700058157,http://orthodoxicon.ru,S3
62,1213800000105,http://sodcentr.ru,Wordpress
63,1215000009311,http://socuslugimo.ru,Joomla
64,1213300000231,http://anoinstartup.ru,S3
65,1210200000317,http://sankinabf.ru,Unknown
66,1212200003718,http://fctemp.ru,Wordpress
67,1212600000227,http://deti-v-bolnice.ru,Wordpress
68,1210900000310,http://fond-imenikonova.ru,Tilda
69,1217700033682,http://instituteoftheatre.ru,Wordpress
70,1210200023000,http://fpsr02.ru,Unknown
71,1212900000840,http://daily-29.ru,Wordpress
72,1217700036080,https://фондкругдобра.рф,Tilda
73,1214100000102,http://anogisp.ru,Bitrix
74,1215900005903,http://gazetaniva-perm.ru,Unknown
75,1212100000485,http://assorg.ru,Joomla
76,1211800004998,http://www.ushinsky-iro.ru,Wordpress
77,1217700049600,http://prolapy-fond.ru,Tilda
78,1217800052910,http://rvfond.ru,Unknown
79,1217600006073,http://academiasport76.ru,Wordpress
80,1217800040952,http://fond-lukyasha.ru,Wordpress
81,1212400005960,http://azbuka-rs.ru,Bitrix
82,1217800042460,http://innovationcentre.ru,Wordpress
83,1215500000870,http://omsknoc.ru,Wordpress
84,1217700014905,http://sodrujestvohotosho.ru,S3
85,1217700063020,http://starforsma.ru,Joomla
86,1215400018790,http://бфн.рф,Wordpress
87,1037739148260,http://domrz.ru,Bitrix
88,1037800004461,http://spbrc.nw.ru,Drupal
89,1025001199904,http://kmipt.ru,Bitrix
90,1147799008851,http://avcrf.ru,Unknown
91,1037730020646,http://тсжкутузов.рф,Unknown
92,1057813167060,http://tsz-magistral-74.narod.ru,Ucoz
93,1117799002540,http://empp.ru,Unknown
94,1125000004634,http://ropnp.ru,Joomla
95,1127799020975,http://expert-nko.ru,Unknown
96,1027700058671,http://assoneft.ru,Bitrix
97,1027700244923,http://volynka.ru,Unknown
98,1037743004265,http://tsg34.ru,Unknown
99,1036142003260,http://mkapbk.ru,Web Presence Builder 17.8.12
100,1033700022179,http://www.ivbeton.ru,Wordpress
101,1035602450950,http://ski-dolina.ru,Unknown
102,1033301809892,http://avtoshkoladuk.ru,Unknown
103,1035009560409,http://pdc.su,Joomla
104,1034690002016,http://kurchatov-hram.ru,Unknown
105,1037700098072,http://www.rushandball.ru,Unknown
106,1033900800207,http://amoko39.ru,Bitrix
107,1031659006796,http://hram-triozera.ru,Unknown
108,1037865011128,http://shcherbina.ru,Wordpress
109,1037739256862,http://cnip.ru,Unknown
110,1034690005954,http://pokrovbobrava.ru,Wordpress
111,1037739456600,http://www.profagro.ru,Bitrix
112,1037739148677,http://www.zilmed.ru,Unknown
113,1037843109260,http://lapinski.ru,S3
114,1037700250576,http://politeia.ru,Unknown
115,1020201938030,http://sp-oktb.ru,Wordpress
116,1037739236820,http://pravoslavmolodezh.ru,Drupal
117,1036605618830,http://uraltennis.ru,Unknown
118,1036605621535,http://stomatologiso.ru,Wordpress
119,1037739475685,http://emsch.ru,Wordpress
120,1037739898866,http://ssopir.ru,Unknown
121,1037739744415,http://www.aha.ru/~ipar,Unknown
