issuer,notAfter,notBefore,website,error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 26 14:48:45 2022 GMT,Nov 28 14:48:46 2021 GMT,http://findsalvation.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 12 11:05:38 2022 GMT,Nov 14 11:05:39 2021 GMT,http://univermol68.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  6 06:25:29 2022 GMT,Jan  6 06:25:30 2022 GMT,http://fks27.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",May 26 23:59:59 2022 GMT,May 26 00:00:00 2020 GMT,http://frontstory.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 21 05:47:19 2022 GMT,Nov 23 05:47:20 2021 GMT,http://absf.ru,No error
,,,http://interced.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 16 00:38:39 2022 GMT,Oct 18 00:38:40 2021 GMT,http://vshgo.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 15 23:59:20 2022 GMT,Dec 15 23:59:21 2021 GMT,http://anoecograd.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 29 21:49:45 2022 GMT,Oct 31 21:49:46 2021 GMT,http://profmasterstvo.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  3 19:26:48 2022 GMT,Jan  3 19:26:49 2022 GMT,http://novtechschool.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  6 06:30:49 2022 GMT,Nov  8 06:30:50 2021 GMT,http://frprh.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 24 17:37:34 2022 GMT,Oct 26 17:37:35 2021 GMT,http://ангыр.рф,No error
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'GlobalSign GCC R3 DV TLS CA 2020']]]",Nov  1 17:39:14 2022 GMT,Sep 30 17:39:14 2021 GMT,http://antedu.ru,No error
,,,http://прознания.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://alternativaschool.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'alternativaschool.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  7 23:37:13 2022 GMT,Dec  7 23:37:14 2021 GMT,http://цпв-гвардия.рф,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  9 12:30:34 2022 GMT,Nov 11 12:30:35 2021 GMT,http://schoolimtp.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  4 03:33:53 2022 GMT,Jan  4 03:33:54 2022 GMT,http://stepfond.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  2 23:37:18 2022 GMT,Dec  2 23:37:19 2021 GMT,http://moosp.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Feb 10 23:59:59 2022 GMT,Nov 12 00:00:00 2021 GMT,http://bfrubystar.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Feb 11 23:59:59 2022 GMT,Nov 13 00:00:00 2021 GMT,http://рубиноваязвезда.рф,No error
,,,http://gimnazia-roslavl.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'gimnazia-roslavl.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  4 13:39:39 2022 GMT,Dec  4 13:39:40 2021 GMT,http://abatcluster.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 10 08:02:34 2022 GMT,Nov 12 08:02:35 2021 GMT,http://kkfound.ru,No error
,,,http://gran-i.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'gran-i.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  7 06:10:49 2022 GMT,Dec  7 06:10:50 2021 GMT,http://anokns.ru,No error
,,,http://проектбудущее.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 28 00:19:01 2022 GMT,Dec 28 00:19:02 2021 GMT,http://www.biscol.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 18 17:56:13 2022 GMT,Oct 20 17:56:14 2021 GMT,http://rck51.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 12 21:24:24 2022 GMT,Dec 12 21:24:25 2021 GMT,http://1-advokatskoe-byuro.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 22 03:54:28 2022 GMT,Oct 24 03:54:29 2021 GMT,http://azrb.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 26 00:10:24 2022 GMT,Dec 26 00:10:25 2021 GMT,http://суджнародтрадит.рф,No error
,,,http://spartak-tz.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'spartak-tz.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 17 18:21:33 2022 GMT,Dec 17 18:21:34 2021 GMT,http://dobro-perm.ru,No error
,,,http://уфа-альянс.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 18 23:03:15 2022 GMT,Dec 18 23:03:16 2021 GMT,http://anorsi.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 18 23:45:11 2022 GMT,Dec 18 23:45:12 2021 GMT,http://vorotavsport.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 11 03:56:18 2022 GMT,Dec 11 03:56:19 2021 GMT,http://agroturizm54.ru,No error
,,,http://bfaom.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bfaom.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 22 03:32:09 2022 GMT,Nov 24 03:32:10 2021 GMT,http://specopbabushka.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 22 03:32:09 2022 GMT,Nov 24 03:32:10 2021 GMT,http://specopbabushka.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 22 03:32:09 2022 GMT,Nov 24 03:32:10 2021 GMT,http://specopbabushka.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 22 03:32:09 2022 GMT,Nov 24 03:32:10 2021 GMT,http://specopbabushka.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  8 14:51:07 2022 GMT,Nov 10 14:51:08 2021 GMT,http://yfnd.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 20 08:40:02 2022 GMT,Dec 20 08:40:03 2021 GMT,http://ipipm.ru,No error
,,,http://naogs.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  9 01:31:36 2022 GMT,Nov 11 01:31:37 2021 GMT,http://мызавас.рф,No error
,,,http://ukkursor.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  5 01:58:09 2022 GMT,Dec  5 01:58:10 2021 GMT,http://createdu.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  1 23:23:22 2022 GMT,Jan  1 23:23:23 2022 GMT,http://мывместефонд.рф,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 26 07:36:15 2022 GMT,Oct 28 07:36:16 2021 GMT,http://rostok-dobra-kz.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 27 07:16:27 2022 GMT,Dec 27 07:16:28 2021 GMT,https://porapomogat.ru,No error
