vk,count_members,count_posts_all,count_posts_per_month,likes_overall_all,likes_mean_all,comments_overall_all,comments_mean_all,reposts_overall_all,reposts_mean_all,views_overall_all,views_mean_all,ads_overall_all,ads_mean_all,ogrn,shortName,fullName,field,website,group_id
https://vk.com//public203415983,5.0,18.0,1.29,458.0,25.44,13.0,0.72,458.0,25.44,,,,,1159102015016,ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ВЕТЕРАНОВ ГОРОДА-ГЕРОЯ КЕРЧИ,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ВЕТЕРАНОВ И ИНВАЛИДОВ ВОЙНЫ, ТРУДА, ВОЕННОЙ СЛУЖБЫ, ПРАВООХРАНИТЕЛЬНЫХ ОРГАНОВ (ПЕНСИОНЕРОВ) ГОРОДА-ГЕРОЯ КЕРЧИ","Ветераны, военные и патриоты",veteranykerch.ru,public203415983
https://vk.com//public203659500,54.0,18.0,1.29,458.0,25.44,13.0,0.72,458.0,25.44,,,,,1021100002923,ФПРК,"СОЮЗ ОРГАНИЗАЦИЙ ПРОФСОЮЗОВ ""ФЕДЕРАЦИЯ ПРОФСОЮЗОВ РЕСПУБЛИКИ КОМИ""",Профсоюзы,фпрк11.рф,public203659500
https://vk.com/15days_victory,146.0,106.0,2.5,4.0,0.2,0.0,0.0,4.0,0.2,,,0.0,0.0,1116300004347,"РМОО ""СТУДЕНЧЕСКИЙ СОВЕТ САМАРСКОЙ ОБЛАСТИ""","РЕГИОНАЛЬНАЯ МОЛОДЕЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СТУДЕНЧЕСКИЙ СОВЕТ САМАРСКОЙ ОБЛАСТИ""",Студенческие инициативы,15dayvic.ru,15days_victory
https://vk.com/18blagodar,751.0,807.0,4.0,532.0,26.6,23.0,1.15,532.0,26.6,23910.0,1195.5,0.0,0.0,1081800000710,"БФ ""БЛАГОДАР""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""БЛАГОДАР""","Адресная помощь, благотворительность",http://благодар18.рф,18blagodar
https://vk.com/1fondnfr,1596.0,1454.0,5.0,141.0,7.05,6.0,0.3,141.0,7.05,3608.0,180.4,0.0,0.0,1157700001953,"ФОНД ""НФР""","ФОНД ""НАЦИОНАЛЬНЫЙ ФОНД РАЗВИТИЯ РЕАБИЛИТАЦИИ""",Медицина и здравоохранение,фонднфр.рф,1fondnfr
https://vk.com/1mestopodsolncem,2051.0,3052.0,2.5,331.0,16.55,7.0,0.35,331.0,16.55,11599.0,579.95,0.0,0.0,1137800002152,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МЕСТО ПОД СОЛНЦЕМ""","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МЕСТО ПОД СОЛНЦЕМ""","Адресная помощь, благотворительность",deti-sun.ru,1mestopodsolncem
https://vk.com/1vosgmpr,14965.0,4911.0,10.0,1337.0,66.85,53.0,2.65,1337.0,66.85,112649.0,5632.45,0.0,0.0,1023500002162,Вологодская Областная Общественная Организация Горно - Металлургического Профсоюза России,ВОЛОГОДСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ГОРНО - МЕТАЛЛУРГИЧЕСКОГО ПРОФСОЮЗА РОССИИ,Профсоюзы,vosgmpr.ru,1vosgmpr
https://vk.com/29lime,1503.0,510.0,6.67,287.0,14.35,13.0,0.65,287.0,14.35,17134.0,856.7,0.0,0.0,1132900000749,"РОБФ ""ПОМОРЬЕ БЕЗ НАРКОТИКОВ""","РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ПОМОРЬЕ БЕЗ НАРКОТИКОВ""",Медицина и здравоохранение,lime29.ru,29lime
https://vk.com/2polza,,1774.0,6.67,136.0,6.8,19.0,0.95,136.0,6.8,16471.0,823.55,0.0,0.0,1157800000478,"БФ ""ПОЛЬЗА""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ПОЛЬЗА""","Адресная помощь, благотворительность",http://ipolza.com,2polza
https://vk.com/2sigma,558.0,26.0,1.67,51.0,2.55,2.0,0.1,51.0,2.55,11820.0,591.0,0.0,0.0,1105000003646,"КТС ""ОКА-ДАНС""","СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СЕРПУХОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ""КЛУБ ТАНЦЕВАЛЬНОГО СПОРТА ""ОКА-ДАНС""",Спорт,2sigma.ru,2sigma
