ogrn,name,website,name_egrul,fullName,address,registration_date,inn,reg_region,okato_code,okato_name,okved,okved_code,okopf,okopf_code
1027739445250,Благотворительный фонд Владимира Потанина,www.fondpotanin.ru,"ПОТАНИНА, ФОНД",БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ВЛАДИМИРА ПОТАНИНА,"125375, г. Москва, вн.тер.г. муниципальный округ Тверской, ул Тверская, д. 16, стр. 1 (Торговый центр «Галерея актер»)",10.01.1999,7702231587,Москва,45286585000,"Москва, Центральный, Тверской","Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,Благотворительные фонды,70401
1107799035563,Благотворительный фонд Елены и Геннадия Тимченко,timchenkofoundation.org,"ТИМЧЕНКО, ФОНД",БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ЕЛЕНЫ И ГЕННАДИЯ ТИМЧЕНКО,"119021, г. Москва, ул. Тимура Фрунзе, д. 11 стр. 1 офис 108 (Бизнес-центр «Красная Роза Демидов»)",09.12.2010,7714323553,Москва,45286590000,"Москва, Центральный, Хамовники",Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,88.10,Благотворительные фонды,70401
1157700017518,"Благотворительный фонд ""Вклад в будущее""",vbudushee.ru,ВКЛАД В БУДУЩЕЕ,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ВКЛАД В БУДУЩЕЕ""","117312, г. Москва, ул. Вавилова, д. 19",05.11.2015,7736255272,Москва,45293554000,"Москва, Юго-Западный, Академический","Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",64.99,Благотворительные фонды,70401
1117799025508,"Некоммерческая организация благотворительный фонд ""Искусство, наука и спорт""",www.artscienceandsport.com,"ИСКУССТВО, НАУКА И СПОРТ, ФОНД","НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИСКУССТВО, НАУКА И СПОРТ""","121609, г. Москва, шоссе Рублёвское, д. 28 этаж , пом. , ком. 16, I, 20 (Бизнес-центр «Profico»)",22.12.2011,7731396632,Москва,45268560000,"Москва, Западный, Крылатское","Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64.9,Благотворительные фонды,70401
1027739566084,"Унитарная некоммерческая организация благотворительный фонд ""Почет""",www.pochet.ru,"ПОЧЕТ, БФ","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ПОЧЕТ""","107078, г. Москва, ул. Новая Басманная, д. 2",14.12.1999,7708123958,Москва,45286555000,"Москва, Центральный, Басманный","Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,Благотворительные фонды,70401
1137799017245,"Благотворительный фонд ""Сафмар""",safmar.ru,"САФМАР, БФ","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""САФМАР""","115054, г. Москва, ул. Пятницкая, д. 69 (Бизнес-центр «Чайка Плаза 9»)",16.09.2013,7705521823,Москва,45286560000,"Москва, Центральный, Замоскворечье",Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,88.10,Благотворительные фонды,70401
1024840825250,"Благотворительный фонд социальной защиты ""Милосердие""",miloserdie.nlmk.com,"МИЛОСЕРДИЕ, БФСЗ","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНОЙ ЗАЩИТЫ ""МИЛОСЕРДИЕ""","398008, Липецкая обл, г.о. город Липецк, г Липецк, ул 50 лет НЛМК, д. 11А, этаж 3, помещ. 305",20.04.1999,4823014990,Липецкая область,42401368000,"Липецкая область, Липецк, Октябрьский",Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,88.10,Благотворительные фонды,70401
1187700007824,Благотворительный фонд семьи Рыбаковых,rybakovfoundation.ru,"СЕМЬИ РЫБАКОВЫХ, ФОНД",БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СЕМЬИ РЫБАКОВЫХ,"125167, г. Москва, проспект Ленинградский, д. 36 стр. 11 этаж / каб. 6 / 609",27.04.2018,9709031439,Москва,45277553000,"Москва, Северный, Аэропорт","Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",64.99,Благотворительные фонды,70401
1047796025419,"Благотворительный фонд ""Система""",bf.sistema.ru,"СИСТЕМА, БФ","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""СИСТЕМА""","127006, г. Москва, ул. Дмитровка М., д. 18 стр. 1",20.01.2004,7704510770,Москва,45286585000,"Москва, Центральный, Тверской","Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,Благотворительные фонды,70401
1187700016130,"Благотворительного фонда ""Школа ""ЛЕТОВО""",letovo.ru,"ШКОЛА ЛЕТОВО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ШКОЛА ""ЛЕТОВО""","115054, г. Москва, ул. Валовая, д. 35 пом. 227 ком. 11",05.09.2018,9705122967,Москва,45286560000,"Москва, Центральный, Замоскворечье","Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",64.99,Благотворительные фонды,70401
