name_x,ogrn,short_name,full_name,address_x,website,reg_date,liq_date,status_x,inn,region,okato,oktmo_code,okved,okved_code,okopf,okopf_code,domain_name,registrar,creation_date,expiration_date
"118 ОТДЕЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ ; ПОУ 118 ОУЦСПН ; 118 ОТДЕЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ ; 118 ОУЦСПН, ПОУ",1127800004914.0,"ПОУ ""118 ОТДЕЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ""; ПОУ ""118 ОУЦСПН""; ""118 ОТДЕЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ""; ""118 ОУЦСПН""","ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""118 ОТДЕЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ""","196620, г. Санкт-Петербург, г. Павловск, ул. Александра Матросова (Пязелево Тер.), д. 1 литера А",geroi-nashego-vremeni.ru,2012-05-21,,Действующая,7820290130.0,Санкт-Петербург,"Санкт-Петербург, Пушкинский",40387000000.0,Образование профессиональное среднее,85.21,Частные учреждения,75500.0,GEROI-NASHEGO-VREMENI.RU,BEGET-RU,2017-08-07 17:22:01,2023-08-07 17:22:01
"35-Я БЕРЕГОВАЯ БАТАРЕЯ, БФ ИКРГ",1159204005982.0,"БФ ИКРГ ""35-Я БЕРЕГОВАЯ БАТАРЕЯ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИСТОРИКО-КУЛЬТУРНОГО РАЗВИТИЯ ГОРОДА ""35-Я БЕРЕГОВАЯ БАТАРЕЯ""","299053, г. Севастополь, ул. Вакуленчука, д. 22",35bateryfond.ru,2007-06-16,,Действующая,9201504692.0,Севастополь,"Севастополь, Гагаринский",67310000000.0,"Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,Благотворительные фонды,70401.0,35BATERYFOND.RU,REGRU-RU,2022-02-16 15:37:56,2023-02-16 15:37:56
"[БИГ БЕН], ЧОУ",1097400001181.0,"ЧОУ ""[БИГ БЕН]""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""[БИГ БЕН] - ЦЕНТР ИЗУЧЕНИЯ АНГЛИЙСКОГО ЯЗЫКА""","454106, Челябинская обл., г. Челябинск, ул. Чайковского, д. 54 кв. 6",bigben74.ru,2009-07-08,,Действующая,7447155889.0,Челябинская область,"Челябинская область, Челябинск, Калининский",75701310000.0,Образование дополнительное детей и взрослых,85.41,Частные учреждения,75500.0,BIGBEN74.RU,REGRU-RU,2011-10-03 05:43:20,2022-10-03 06:43:20
"А-АВТО-ЛАДА, НОЧУ",1086600004116.0,"НОЧУ ""А-АВТО-ЛАДА""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ""А-АВТО-ЛАДА""","623100, Свердловская обл., г. Первоуральск, ул. Ватутина, д. 16 кв. 1",научимводить.рф,2008-11-18,2020-04-09,Недействующая,6625050535.0,Свердловская область,"Свердловская область, Первоуральск",65753000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,XN--80AEGOCVEM2BD8B2D.XN--P1AI,R01-RF,2022-06-01 15:02:16,2023-06-01 15:02:16
"ААЭП, АНОО ВО",1062202032749.0,"АНОО ВО ""ААЭП""",АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ АЛТАЙСКАЯ АКАДЕМИЯ ЭКОНОМИКИ И ПРАВА,"656039, Алтайский кр., г. Барнаул, проспект Комсомольский, д. 86",pie-aael.ru,2006-09-06,,Ликвидируется,2225079684.0,Алтайский край,"Алтайский край, Барнаул, Центральный",1701000001.0,Образование высшее,85.22,Автономные некоммерческие организации,71400.0,PIE-AAEL.RU,RU-CENTER-RU,2009-05-07 20:00:00,2023-05-07 21:00:00
"АБИ С.В.СТЕПАНОВА, АНО",1226600028368.0,"АНО ""АБИ С.В.СТЕПАНОВА""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""АКАДЕМИЯ БОЕВЫХ ИСКУССТВ С.В.СТЕПАНОВА""","620028, Свердловская обл, г.о. город Екатеринбург, г Екатеринбург, ул Кирова, стр. 28, офис 603",academy-stepanov.ru,2022-05-16,,Действующая,6658553372.0,Свердловская область,"Свердловская область, Екатеринбург, Верх-Исетский",65701000001.0,Деятельность в области спорта прочая,93.19,Автономные некоммерческие организации,71400.0,ACADEMY-STEPANOV.RU,REGRU-RU,2022-06-14 10:30:30,2023-06-14 10:30:30
"АБСОЛЮТ ПРОФИТ, ЧОУ ДПО",1125200004490.0,"ЧОУ ДПО ""АБСОЛЮТ ПРОФИТ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АБСОЛЮТ ПРОФИТ""","603022, Нижегородская обл., г. Нижний Новгород, ул. Красносельская, д. 11А кв. 301",experteducation.ru,2012-12-25,,Действующая,5262985555.0,Нижегородская область,"Нижегородская область, Нижний Новгород, Советский",22701000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,EXPERTEDUCATION.RU,REGRU-RU,2019-09-24 07:56:45,2022-09-24 07:56:45
"АБСОЛЮТ УЦ, ЧУДПО",1117400002720.0,"ЧУДПО ""АБСОЛЮТ УЦ""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АБСОЛЮТ УЧЕБНЫЙ ЦЕНТР""","454087, Челябинская обл., г. Челябинск, ул. Блюхера, д. 69 офис 502",a-174.ru,2011-07-25,,Действующая,7451990106.0,Челябинская область,"Челябинская область, Челябинск, Советский",75701370000.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,A-174.RU,RU-CENTER-RU,2012-05-23 11:18:50,2023-05-23 12:18:50
"АВАНГАРД ДОСААФ РОССИИ ПРИМОРСКОГО КРАЯ, АНО",1202500016190.0,АНО «АВАНГАРД» ДОСААФ РОССИИ ПРИМОРСКОГО КРАЯ,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ВОЕННО-ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ МОЛОДЁЖИ ""АВАНГАРД"" ДОСААФ РОССИИ ПРИМОРСКОГО КРАЯ","690033, Приморский кр., г. Владивосток, проспект 100-Летия Владивостока, д. 57А офис 306",avangard25.ru,2020-07-17,,Действующая,2543150620.0,Приморский край,"Приморский край, Владивосток, Первореченский",5701000001.0,Деятельность в области спорта прочая,93.19,Автономные некоммерческие организации,71400.0,AVANGARD25.RU,TIMEWEB-RU,2022-05-19 22:00:14,2023-05-19 22:00:14
"АВЕНИР, ЧДОУ",1147800004230.0,"ЧДОУ ""АВЕНИР""","ЧАСТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АВЕНИР""","194356, г. Санкт-Петербург, ул. Корякова, д. 18 литера А",bilingvik-club.ru,2014-07-16,,Действующая,7802291572.0,Санкт-Петербург,"Санкт-Петербург, Выборгский",40319000000.0,Образование дошкольное,85.11,Частные учреждения,75500.0,BILINGVIK-CLUB.RU,REGRU-RU,2020-09-16 15:41:09,2022-09-16 15:41:09
