,vk,count_members,count_posts_all,count_posts_per_month,likes_overall_all,likes_mean_all,comments_overall_all,comments_mean_all,reposts_overall_all,reposts_mean_all,views_overall_all,views_mean_all,ads_overall_all,ads_mean_all,ogrn,shortName,website,group_id,er_basic,real_readers,real_readers_percentage,er_by_views,ngo_effort,effort_paid_off
0,https://vk.com//public203415983,5.0,18.0,1.29,458.0,25.44,13.0,0.72,458.0,25.44,,0.0,,0.0,1159102015016,ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ВЕТЕРАНОВ ГОРОДА-ГЕРОЯ КЕРЧИ,veteranykerch.ru,public203415983,10.58,0.0,0.0,0.0,19.29,0.55
1,https://vk.com//public203659500,54.0,18.0,1.29,458.0,25.44,13.0,0.72,458.0,25.44,,0.0,,0.0,1021100002923,ФПРК,фпрк11.рф,public203659500,0.98,0.0,0.0,0.0,19.29,0.05
2,https://vk.com/15days_victory,146.0,106.0,2.5,4.0,0.2,0.0,0.0,4.0,0.2,,0.0,0.0,0.0,1116300004347,"РМОО ""СТУДЕНЧЕСКИЙ СОВЕТ САМАРСКОЙ ОБЛАСТИ""",15dayvic.ru,15days_victory,0.02,0.0,0.0,0.0,108.5,0.0
3,https://vk.com/18blagodar,751.0,807.0,4.0,532.0,26.6,23.0,1.15,532.0,26.6,23910.0,1195.5,0.0,0.0,1081800000710,"БФ ""БЛАГОДАР""",http://благодар18.рф,18blagodar,1.67,1.59,159.19,0.05,811.0,0.0
4,https://vk.com/1fondnfr,1596.0,1454.0,5.0,141.0,7.05,6.0,0.3,141.0,7.05,3608.0,180.4,0.0,0.0,1157700001953,"ФОНД ""НФР""",фонднфр.рф,1fondnfr,0.13,0.11,11.3,0.11,1459.0,0.0
5,https://vk.com/1mestopodsolncem,2051.0,3052.0,2.5,331.0,16.55,7.0,0.35,331.0,16.55,11599.0,579.95,0.0,0.0,1137800002152,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МЕСТО ПОД СОЛНЦЕМ""",deti-sun.ru,1mestopodsolncem,0.3,0.28,28.28,0.06,3054.5,0.0
6,https://vk.com/1tvcrimea,17215.0,29772.0,20.0,177.0,8.85,15.0,0.75,177.0,8.85,14737.0,736.85,0.0,0.0,1149102032507,"АНО ""ТРК ""КРЫМ""",1tvcrimea.ru,1tvcrimea,0.05,0.04,4.28,0.05,29792.0,0.0
7,https://vk.com/1vosgmpr,14965.0,4911.0,10.0,1337.0,66.85,53.0,2.65,1337.0,66.85,112649.0,5632.45,0.0,0.0,1023500002162,,vosgmpr.ru,1vosgmpr,0.39,0.38,37.64,0.03,4921.0,0.0
8,https://vk.com/29lime,1503.0,510.0,6.67,287.0,14.35,13.0,0.65,287.0,14.35,17134.0,856.7,0.0,0.0,1132900000749,"РОБФ ""ПОМОРЬЕ БЕЗ НАРКОТИКОВ""",lime29.ru,29lime,0.59,0.57,57.0,0.04,516.67,0.0
9,https://vk.com/2polza,,1774.0,6.67,136.0,6.8,19.0,0.95,136.0,6.8,16471.0,823.55,0.0,0.0,1157800000478,"БФ ""ПОЛЬЗА""",http://ipolza.com,2polza,,,,0.03,1780.67,
10,https://vk.com/2sigma,558.0,26.0,1.67,51.0,2.55,2.0,0.1,51.0,2.55,11820.0,591.0,0.0,0.0,1105000003646,"КТС ""ОКА-ДАНС""",2sigma.ru,2sigma,1.07,1.06,105.91,0.01,27.67,0.04
